21,1,12
32,1,11
32,27,3
57,1,10
67,1,8
67,35,5
83,1,7
111,23,8
111,56,5
136,47,14
164,77,11
164,102,7
188,49,12
213,23,15
213,106,3
231,42,14
253,61,15
253,84,7
278,84,17
303,54,8
303,134,9
317,65,16
329,81,8
329,106,7
341,67,11
355,75,12
355,108,3
376,100,7
390,77,17
390,128,5
419,52,12
440,34,10
440,88,4
451,39,12
468,61,8
468,93,7
481,46,7
506,64,16
506,100,3
524,39,17
543,58,10
543,91,7
567,81,16
596,113,15
596,133,9
611,93,14
621,104,10
621,127,7
637,117,10
652,93,18
652,154,8
663,111,7
692,80,5
692,153,3
707,88,12
717,101,10
717,119,8
729,115,13
740,98,12
740,155,4
768,123,17
794,150,11
794,174,3
811,173,11
831,148,11
831,206,6
859,118,12
874,106,11
874,167,7
894,126,8
908,103,16
908,159,6
923,118,14
952,152,14
952,181,6
963,165,11
989,137,6
989,214,4
1004,151,8
1017,161,14
1017,187,6
1027,146,15
1044,125,13
1044,197,4
1063,147,12
1077,160,13
1077,188,4
1094,179,12
1111,159,10
1111,215,6
1136,183,7
1158,207,7
1158,219,8
1174,218,12
1198,190,11
1198,276,3
1214,208,10
1227,218,14
1227,246,8
1238,105,110
